total_syn,req_size,req_type,topo_size,increment_type
2.030585,8,simple,small,FALSE
1.9909806,8,simple,small,TRUE
2.3413155,8,order,small,FALSE
2.244093,8,order,small,TRUE
4.0395377,16,simple,small,FALSE
4.0351371,16,simple,small,TRUE
4.5937422,16,order,small,FALSE
4.4654049,16,order,small,TRUE
0.4691963,2,simple,small,FALSE
0.4428606,2,simple,small,TRUE
0.4816159,2,order,small,FALSE
0.4815683,2,order,small,TRUE
0.9600548,4,simple,small,FALSE
0.9246779,4,simple,small,TRUE
0.9656943,4,order,small,FALSE
0.9776648,4,order,small,TRUE
1.8307432,8,simple,small,FALSE
1.8236072,8,simple,small,TRUE
2.3419764,8,order,small,FALSE
2.2792803,8,order,small,TRUE
3.7491976,16,simple,small,FALSE
3.6754966,16,simple,small,TRUE
4.4309795,16,order,small,FALSE
3.9080648,16,order,small,TRUE
0.4250441,2,simple,small,FALSE
0.4337889,2,simple,small,TRUE
0.4768531,2,order,small,FALSE
0.4707332,2,order,small,TRUE
0.8927304,4,simple,small,FALSE
0.8835011,4,simple,small,TRUE
0.9531959,4,order,small,FALSE
0.9373061,4,order,small,TRUE
1.8876027,8,simple,small,FALSE
1.8342843,8,simple,small,TRUE
1.9038519,8,order,small,FALSE
1.8569927,8,order,small,TRUE
3.7510812,16,simple,small,FALSE
3.6345205,16,simple,small,TRUE
3.7058605,16,order,small,FALSE
3.6146032,16,order,small,TRUE
0.4983607,2,simple,small,FALSE
0.4795976,2,simple,small,TRUE
0.5241983,2,order,small,FALSE
0.516166,2,order,small,TRUE
0.9799414,4,simple,small,FALSE
0.9583464,4,simple,small,TRUE
1.0351171,4,order,small,FALSE
1.018319,4,order,small,TRUE
1.9597576,8,simple,small,FALSE
1.9053091,8,simple,small,TRUE
2.09197,8,order,small,FALSE
2.041422,8,order,small,TRUE
3.9022703,16,simple,small,FALSE
3.8444359,16,simple,small,TRUE
4.0336961,16,order,small,FALSE
4.0279803,16,order,small,TRUE
0.9363021,2,simple,mid,FALSE
0.8566024,2,simple,mid,TRUE
1.1069216,2,order,mid,FALSE
1.024844,2,order,mid,TRUE
1.8213081,4,simple,mid,FALSE
